#TYPE Selected.System.Management.ManagementObject
"Name","PathName","__RELPATH","__PATH","Caption","Description","DisplayName","Path"
"AdobeARMservice","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""","Win32_Service.Name=""AdobeARMservice""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AdobeARMservice""","Adobe Acrobat Update Service","Adobe Acrobat Updater keeps your Adobe software up to date.","Adobe Acrobat Update Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AdobeARMservice"""
"AJRouter","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Win32_Service.Name=""AJRouter""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AJRouter""","AllJoyn Router Service","Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run.","AllJoyn Router Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AJRouter"""
"ALG","C:\Windows\System32\alg.exe","Win32_Service.Name=""ALG""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""ALG""","Application Layer Gateway Service","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing","Application Layer Gateway Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""ALG"""
"AppIDSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Win32_Service.Name=""AppIDSvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppIDSvc""","Application Identity","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.","Application Identity","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppIDSvc"""
"Appinfo","C:\Windows\system32\svchost.exe -k netsvcs -p","Win32_Service.Name=""Appinfo""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""Appinfo""","Application Information","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.","Application Information","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""Appinfo"""
"AppMgmt","C:\Windows\system32\svchost.exe -k netsvcs -p","Win32_Service.Name=""AppMgmt""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppMgmt""","Application Management","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.","Application Management","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppMgmt"""
"AppReadiness","C:\Windows\System32\svchost.exe -k AppReadiness -p","Win32_Service.Name=""AppReadiness""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppReadiness""","App Readiness","Gets apps ready for use the first time a user signs in to this PC and when adding new apps.","App Readiness","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppReadiness"""
"AppVClient","C:\Windows\system32\AppVClient.exe","Win32_Service.Name=""AppVClient""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppVClient""","Microsoft App-V Client","Manages App-V users and virtual applications","Microsoft App-V Client","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppVClient"""
"AppXSvc","C:\Windows\system32\svchost.exe -k wsappx -p","Win32_Service.Name=""AppXSvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppXSvc""","AppX Deployment Service (AppXSVC)","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.","AppX Deployment Service (AppXSVC)","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AppXSvc"""
"AssignedAccessManagerSvc","C:\Windows\system32\svchost.exe -k AssignedAccessManagerSvc","Win32_Service.Name=""AssignedAccessManagerSvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AssignedAccessManagerSvc""","AssignedAccessManager Service","AssignedAccessManager Service supports kiosk experience in Windows.","AssignedAccessManager Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AssignedAccessManagerSvc"""
"AudioEndpointBuilder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Win32_Service.Name=""AudioEndpointBuilder""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AudioEndpointBuilder""","Windows Audio Endpoint Builder","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","Windows Audio Endpoint Builder","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AudioEndpointBuilder"""
"Audiosrv","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Win32_Service.Name=""Audiosrv""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""Audiosrv""","Windows Audio","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","Windows Audio","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""Audiosrv"""
"autotimesvc","C:\Windows\system32\svchost.exe -k autoTimeSvc","Win32_Service.Name=""autotimesvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""autotimesvc""","Cellular Time","This service sets time based on NITZ messages from a Mobile Network","Cellular Time","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""autotimesvc"""
"AxInstSV","C:\Windows\system32\svchost.exe -k AxInstSVGroup","Win32_Service.Name=""AxInstSV""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AxInstSV""","ActiveX Installer (AxInstSV)","Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings.","ActiveX Installer (AxInstSV)","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""AxInstSV"""
"BDESVC","C:\Windows\System32\svchost.exe -k netsvcs -p","Win32_Service.Name=""BDESVC""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BDESVC""","BitLocker Drive Encryption Service","BDESVC hosts the BitLocker Drive Encryption service. BitLocker Drive Encryption provides secure startup for the operating system, as well as full volume encryption for OS, fixed or removable volumes. This service allows BitLocker to prompt users for various actions related to their volumes when mounted, and unlocks volumes automatically without user interaction. Additionally, it stores recovery information to Active Directory, if available, and, if necessary, ensures the most recent recovery certificates are used.  Stopping or disabling the service would prevent users from leveraging this functionality.","BitLocker Drive Encryption Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BDESVC"""
"BFE","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","Win32_Service.Name=""BFE""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BFE""","Base Filtering Engine","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","Base Filtering Engine","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BFE"""
"BITS","C:\Windows\System32\svchost.exe -k netsvcs -p","Win32_Service.Name=""BITS""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BITS""","Background Intelligent Transfer Service","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.","Background Intelligent Transfer Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BITS"""
"BrokerInfrastructure","C:\Windows\system32\svchost.exe -k DcomLaunch -p","Win32_Service.Name=""BrokerInfrastructure""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BrokerInfrastructure""","Background Tasks Infrastructure Service","Windows infrastructure service that controls which background tasks can run on the system.","Background Tasks Infrastructure Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BrokerInfrastructure"""
"BTAGService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Win32_Service.Name=""BTAGService""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BTAGService""","Bluetooth Audio Gateway Service","Service supporting the audio gateway role of the Bluetooth Handsfree Profile.","Bluetooth Audio Gateway Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BTAGService"""
"BthAvctpSvc","C:\Windows\system32\svchost.exe -k LocalService -p","Win32_Service.Name=""BthAvctpSvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BthAvctpSvc""","AVCTP service","This is Audio Video Control Transport Protocol service","AVCTP service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""BthAvctpSvc"""
"bthserv","C:\Windows\system32\svchost.exe -k LocalService -p","Win32_Service.Name=""bthserv""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""bthserv""","Bluetooth Support Service","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.","Bluetooth Support Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""bthserv"""
"CagService","""C:\Program Files (x86)\CentraStage\CagService.exe""","Win32_Service.Name=""CagService""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CagService""","Datto RMM",,"Datto RMM","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CagService"""
"camsvc","C:\Windows\system32\svchost.exe -k appmodel -p","Win32_Service.Name=""camsvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""camsvc""","Capability Access Manager Service","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities","Capability Access Manager Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""camsvc"""
"CDPSvc","C:\Windows\system32\svchost.exe -k LocalService -p","Win32_Service.Name=""CDPSvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CDPSvc""","Connected Devices Platform Service","This service is used for Connected Devices Platform scenarios","Connected Devices Platform Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CDPSvc"""
"CertPropSvc","C:\Windows\system32\svchost.exe -k netsvcs","Win32_Service.Name=""CertPropSvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CertPropSvc""","Certificate Propagation","Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.","Certificate Propagation","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CertPropSvc"""
"ClipSVC","C:\Windows\System32\svchost.exe -k wsappx -p","Win32_Service.Name=""ClipSVC""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""ClipSVC""","Client License Service (ClipSVC)","Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using Windows Store will not behave correctly.","Client License Service (ClipSVC)","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""ClipSVC"""
"cloudidsvc","C:\Windows\system32\svchost.exe -k CloudIdServiceGroup -p","Win32_Service.Name=""cloudidsvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""cloudidsvc""","Microsoft Cloud Identity Service","Supports integrations with Microsoft cloud identity services.  If disabled, tenant restrictions will not be enforced properly.","Microsoft Cloud Identity Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""cloudidsvc"""
"COMSysApp","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Win32_Service.Name=""COMSysApp""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""COMSysApp""","COM+ System Application","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","COM+ System Application","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""COMSysApp"""
"CoreMessagingRegistrar","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","Win32_Service.Name=""CoreMessagingRegistrar""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CoreMessagingRegistrar""","CoreMessaging","Manages communication between system components.","CoreMessaging","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CoreMessagingRegistrar"""
"CryptSvc","C:\Windows\system32\svchost.exe -k NetworkService -p","Win32_Service.Name=""CryptSvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CryptSvc""","Cryptographic Services","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","Cryptographic Services","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CryptSvc"""
"CscService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Win32_Service.Name=""CscService""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CscService""","Offline Files","The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state.","Offline Files","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""CscService"""
"DcomLaunch","C:\Windows\system32\svchost.exe -k DcomLaunch -p","Win32_Service.Name=""DcomLaunch""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""DcomLaunch""","DCOM Server Process Launcher","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","DCOM Server Process Launcher","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""DcomLaunch"""
"defragsvc","C:\Windows\system32\svchost.exe -k defragsvc","Win32_Service.Name=""defragsvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""defragsvc""","Optimize drives","Helps the computer run more efficiently by optimizing files on storage drives.","Optimize drives","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""defragsvc"""
"DeviceAssociationService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Win32_Service.Name=""DeviceAssociationService""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""DeviceAssociationService""","Device Association Service","Enables pairing between the system and wired or wireless devices.","Device Association Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""DeviceAssociationService"""
"DeviceInstall","C:\Windows\system32\svchost.exe -k DcomLaunch -p","Win32_Service.Name=""DeviceInstall""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""DeviceInstall""","Device Install Service","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","Device Install Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""DeviceInstall"""
"DevQueryBroker","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Win32_Service.Name=""DevQueryBroker""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""DevQueryBroker""","DevQuery Background Discovery Broker","Enables apps to discover devices with a backgroud task","DevQuery Background Discovery Broker","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""DevQueryBroker"""
"Dhcp","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Win32_Service.Name=""Dhcp""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""Dhcp""","DHCP Client","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","DHCP Client","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""Dhcp"""
"diagnosticshub.standardcollector.service","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","Win32_Service.Name=""diagnosticshub.standardcollector.service""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""diagnosticshub.standardcollector.service""","Microsoft (R) Diagnostics Hub Standard Collector Service","Diagnostics Hub Standard Collector Service. When running, this service collects real time ETW events and processes them.","Microsoft (R) Diagnostics Hub Standard Collector Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""diagnosticshub.standardcollector.service"""
"diagsvc","C:\Windows\System32\svchost.exe -k diagnostics","Win32_Service.Name=""diagsvc""","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""diagsvc""","Diagnostic Execution Service","Executes diagnostic actions for troubleshooting support","Diagnostic Execution Service","\\DESKTOP-12LTIVU\root\cimv2:Win32_Service.Name=""diagsvc"""
